clue_id,answer,difficulty,score,action,flags,old_clue_text,sanitized_clue_text
tr_kw_0060,YOL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Üzerinde yürünülen veya gidilen şerit","Üzerinde yürünülen veya gidilen şerit"
tr_kw_0061,BAYRAK,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Bir milletin bağımsızlık sembolü kumaş","Bir milletin bağımsızlık sembolü kumaş"
tr_kw_0062,SİNEMA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Beyaz perdede film izlenen yer","Beyaz perdede film izlenen yer"
tr_kw_0063,DEFTER,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar"
tr_kw_0064,RÜZGAR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Havanın yer değiştirmesiyle oluşan esinti, yel","Havanın yer değiştirmesiyle oluşan esinti, yel"
tr_kw_0065,ZÜRAFA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Çok uzun boyunlu, benekli Afrika hayvanı","Çok uzun boyunlu, benekli Afrika hayvanı"
tr_kw_0066,GÖMLEK,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Vücudun üst kısmına giyilen, yakalı ve düğmeli giysi","Vücudun üst kısmına giyilen, yakalı ve düğmeli giysi"
tr_kw_0067,TİYATRO,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Sahnede oynanan sözlü eser","Sahnede oynanan sözlü eser"
tr_kw_0068,BALİNA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Denizlerde yaşayan, dev boyutlu memeli hayvan","Denizlerde yaşayan, dev boyutlu memeli hayvan"
tr_kw_0069,KARPUZ,medium,78,KEEP,"BELOW_AVG_BIGRAM_SCORE; IDEAL_LENGTH_BONUS","İçi kırmızı, dışı yeşil, bol sulu ve tatlı büyük yaz meyvesi","İçi kırmızı, dışı yeşil, bol sulu ve tatlı büyük yaz meyvesi"
tr_kw_0070,ÇEKİÇ,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Çivi çakmaya yarayan alet","Çivi çakmaya yarayan alet"
tr_kw_0071,ASTRONOM,medium,63,SANITIZE_ONLY,"SINGLE_WORD_CLUE","Gökbilimci","Gökbilimci"
tr_kw_0072,BEŞİKTAŞ,medium,83,KEEP,"IDEAL_LENGTH_BONUS","İstanbul merkezli siyah-beyazlı kulüp","İstanbul merkezli siyah-beyazlı kulüp"
tr_kw_0073,MİMARLIK,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yapı tasarlama sanatı ve bilimi","Yapı tasarlama sanatı ve bilimi"
tr_kw_0074,ANITKABİR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Atatürk'ün Ankara'daki anıt mezarı","Atatürk'ün Ankara'daki anıt mezarı"
tr_kw_0075,HEMŞİRE,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Hasta bakımında doktora yardımcı olan sağlık personeli","Hasta bakımında doktora yardımcı olan sağlık personeli"
tr_kw_0076,PENGUEN,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Güney Kutbu'nda yaşayan, uçamayan deniz kuşu","Güney Kutbu'nda yaşayan, uçamayan deniz kuşu"
tr_kw_0077,TRAKTÖR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Tarla ve bahçe işlerinde kullanılan güçlü motorlu araç","Tarla ve bahçe işlerinde kullanılan güçlü motorlu araç"
tr_kw_0078,ŞEMSİYE,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yağmurdan veya güneşten korunmak için kullanılan eşya","Yağmurdan veya güneşten korunmak için kullanılan eşya"
tr_kw_0079,DEPREM,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yer kabuğunun sarsılması, zelzele","Yer kabuğunun sarsılması, zelzele"
tr_kw_0080,PİRAMİT,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Mısır'daki üçgen şekilli anıt mezarlar","Mısır'daki üçgen şekilli anıt mezarlar"
tr_kw_0081,KARINCAİNCİTMEZ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Çok merhametli, nazik kimse","Çok merhametli, nazik kimse"
tr_kw_0082,ASTRONOT,hard,78,KEEP,"","Uzaya giden kişi","Uzaya giden kişi"
tr_kw_0083,BİLİMKURGU,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Geleceği konu alan edebi tür","Geleceği konu alan edebi tür"
tr_kw_0084,ÇANAKKALE,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Geçilmez denilen zafer destanının şehri","Geçilmez denilen zafer destanının şehri"
tr_kw_0085,DİNOZOR,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Nesli tükenmiş dev sürüngen","Nesli tükenmiş dev sürüngen"
tr_kw_0086,KAPADOKYA,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Peribacaları ile ünlü turistik bölge","Peribacaları ile ünlü turistik bölge"
tr_kw_0087,MANZARA,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Doğa güzelliklerinin görünümü, peyzaj","Doğa güzelliklerinin görünümü, peyzaj"
tr_kw_0088,PSİKOLOJİ,hard,78,KEEP,"","Ruh bilimi","Ruh bilimi"
tr_kw_0089,LABİRENT,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Çıkışı zor, karmaşık yollar bütünü","Çıkışı zor, karmaşık yollar bütünü"
tr_kw_0090,OKYANUS,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Kıtaları ayıran dev su kütlesi","Kıtaları ayıran dev su kütlesi"
tr_kw_0091,KAMUFULAJ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Gizlenme amacıyla yapılan renk değişimi","Gizlenme amacıyla yapılan renk değişimi"
tr_kw_0092,SPEKÜLASYON,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Vurgunculuk, kurgusal tahmin","Vurgunculuk, kurgusal tahmin"
tr_kw_0093,MEDENİYET,hard,63,SANITIZE_ONLY,"SINGLE_WORD_CLUE","Uygarlık","Uygarlık"
tr_kw_0094,NAVİGASYON,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Yol bulmaya yarayan elektronik sistem","Yol bulmaya yarayan elektronik sistem"
tr_kw_0095,STRATEJİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","İzlenen yol, taktik planlama","İzlenen yol, taktik planlama"
tr_kw_0096,PERSPEKTİF,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Derinlik algısı sağlayan çizim tekniği","Derinlik algısı sağlayan çizim tekniği"
tr_kw_0097,GLOBALLEŞME,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Küreselleşme, dünya çapında yayılma","Küreselleşme, dünya çapında yayılma"
tr_kw_0098,RESTORASYON,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Eski yapıları aslına uygun onarma","Eski yapıları aslına uygun onarma"
tr_kw_0099,BİYOGRAFİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Bir kişinin hayatını anlatan yazı","Bir kişinin hayatını anlatan yazı"
tr_kw_0100,ANSİKLOPEDİ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Her konuda bilgi içeren başvuru kitabı","Her konuda bilgi içeren başvuru kitabı"
tr_kw_0101,GÖK,easy,71,KEEP,"CLUE_CONTAINS_ANSWER; IDEAL_LENGTH_BONUS","Mavi renkli sema, gökyüzü","Mavi renkli sema, gökyüzü"
tr_kw_0102,BAĞ,easy,88,KEEP,"DUAL_MEANING_BONUS; IDEAL_LENGTH_BONUS","Düğüm; üzüm kütüklerinin bulunduğu bahçe","Düğüm; üzüm kütüklerinin bulunduğu bahçe"
tr_kw_0103,DAĞ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Çevresine göre çok yüksek olan yer kabuğu çıkıntısı","Çevresine göre çok yüksek olan yer kabuğu çıkıntısı"
tr_kw_0104,ÇÖL,easy,78,KEEP,"","Kurak, kumluk arazi","Kurak, kumluk arazi"
tr_kw_0105,GÖL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Karalar üzerindeki durgun su birikintisi","Karalar üzerindeki durgun su birikintisi"
tr_kw_0106,SAÇ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Baş derisini kaplayan kıllar","Baş derisini kaplayan kıllar"
tr_kw_0107,KAŞ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Gözlerin üzerindeki kıllı şerit","Gözlerin üzerindeki kıllı şerit"
tr_kw_0108,DİŞ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Çiğnemeye yarayan, ağız içindeki sert organ","Çiğnemeye yarayan, ağız içindeki sert organ"
tr_kw_0109,BAŞ,easy,76,KEEP,"CLUE_CONTAINS_ANSWER; DUAL_MEANING_BONUS; IDEAL_LENGTH_BONUS","Kafa; lider; başlangıç","Kafa; lider; başlangıç"
tr_kw_0110,KOL,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Omuzdan parmaklara kadar uzanan organ","Omuzdan parmaklara kadar uzanan organ"
tr_kw_0111,OKUL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Eğitim ve öğretim verilen kurum, mektep","Eğitim ve öğretim verilen kurum, mektep"
tr_kw_0112,SINIF,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Öğrencilerin ders işlediği oda, derslik","Öğrencilerin ders işlediği oda, derslik"
tr_kw_0113,SİLGİ,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yazıyı silmeye yarayan kauçuk veya plastik araç","Yazıyı silmeye yarayan kauçuk veya plastik araç"
tr_kw_0114,DEFTER,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar"
tr_kw_0115,TEBEŞİR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Karatahtaya yazı yazmak için kullanılan beyaz madde","Karatahtaya yazı yazmak için kullanılan beyaz madde"
tr_kw_0116,HARİTA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yeryüzünün çizimle gösterilmesi","Yeryüzünün çizimle gösterilmesi"
tr_kw_0117,PUSULA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Yön bulmaya yarayan alet","Yön bulmaya yarayan alet"
tr_kw_0118,DÜRBÜN,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Uzak nesneleri yakın gösteren optik alet","Uzak nesneleri yakın gösteren optik alet"
tr_kw_0119,MERCEK,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Işığı kıran cam, lens","Işığı kıran cam, lens"
tr_kw_0120,AYNA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Görüntü yansıtan cam","Görüntü yansıtan cam"
tr_kw_0121,MİKROSKOP,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Gözle görülmeyen küçük canlıları incelemeye yarayan alet","Gözle görülmeyen küçük canlıları incelemeye yarayan alet"
tr_kw_0122,TELESKOP,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Gök cisimlerini incelemeye yarayan alet, ırakgörür","Gök cisimlerini incelemeye yarayan alet, ırakgörür"
tr_kw_0123,TERMOMETRE,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Sıcaklığı ölçmeye yarayan alet, sıcaklıkölçer","Sıcaklığı ölçmeye yarayan alet, sıcaklıkölçer"
tr_kw_0124,BAROMETRE,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Hava basıncını ölçen alet, basınçölçer","Hava basıncını ölçen alet, basınçölçer"
tr_kw_0125,KRONOMETRE,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Zamanı hassas ölçmeye yarayan saat, süreölçer","Zamanı hassas ölçmeye yarayan saat, süreölçer"
tr_kw_0126,FUTBOL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Ayakla oynanan, on birer kişilik iki takımla yapılan spor","Ayakla oynanan, on birer kişilik iki takımla yapılan spor"
tr_kw_0127,BASKETBOL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Potaya top atılarak oynanan oyun, sepet topu","Potaya top atılarak oynanan oyun, sepet topu"
tr_kw_0128,VOLEYBOL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","File üzerinden top geçirilerek oynanan oyun, uçan top","File üzerinden top geçirilerek oynanan oyun, uçan top"
tr_kw_0129,TENİS,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Raketle oynanan kort oyunu","Raketle oynanan kort oyunu"
tr_kw_0130,YÜZME,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Suda kulaç atarak yapılan spor","Suda kulaç atarak yapılan spor"
tr_kw_0131,KOŞU,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Hızlı adımlarla yapılan spor","Hızlı adımlarla yapılan spor"
tr_kw_0132,GÜREŞ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","İki kişinin birbirini yenmeye çalıştığı spor","İki kişinin birbirini yenmeye çalıştığı spor"
tr_kw_0133,BOKS,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Yumrukla yapılan dövüş sporu","Yumrukla yapılan dövüş sporu"
tr_kw_0134,JUDO,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Japon kökenli bir savunma sporu","Japon kökenli bir savunma sporu"
tr_kw_0135,KANO,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Küçük ve dar tekne ile yapılan su sporu","Küçük ve dar tekne ile yapılan su sporu"
tr_kw_0136,KAPLUMBAĞA,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Sırtında sert kabuğu olan yavaş yürüyen hayvan","Sırtında sert kabuğu olan yavaş yürüyen hayvan"
tr_kw_0137,BUKALEUMUN,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Renk değiştirme yeteneği olan sürüngen","Renk değiştirme yeteneği olan sürüngen"
tr_kw_0138,AHTAPOT,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Sekiz kollu deniz yumuşakçası","Sekiz kollu deniz yumuşakçası"
tr_kw_0139,İSTAKOZ,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Kıskaçlı büyük deniz böceği","Kıskaçlı büyük deniz böceği"
tr_kw_0140,DENİZANASI,hard,83,KEEP,"IDEAL_LENGTH_BONUS","Şemsiye şeklinde, saydam ve yakıcı deniz canlısı","Şemsiye şeklinde, saydam ve yakıcı deniz canlısı"
tr_kw_0141,LİMON,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Sarı renkli, ekşi sulu, C vitamini zengini narenciye","Sarı renkli, ekşi sulu, C vitamini zengini narenciye"
tr_kw_0142,PORTAKAL,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi"
tr_kw_0143,MANDALİNA,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Portakala benzeyen ancak daha küçük ve kolay soyulan kış meyvesi","Portakala benzeyen ancak daha küçük ve kolay soyulan kış meyvesi"
tr_kw_0144,KARPUZ,medium,78,KEEP,"BELOW_AVG_BIGRAM_SCORE; IDEAL_LENGTH_BONUS","İçi kırmızı, dışı yeşil, bol sulu ve tatlı büyük yaz meyvesi","İçi kırmızı, dışı yeşil, bol sulu ve tatlı büyük yaz meyvesi"
tr_kw_0145,KAVUN,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Sarı kabuklu, hoş kokulu ve tatlı büyük yaz meyvesi","Sarı kabuklu, hoş kokulu ve tatlı büyük yaz meyvesi"
tr_kw_0146,DUT,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Beyaz veya kara çeşitleri olan küçük meyve","Beyaz veya kara çeşitleri olan küçük meyve"
tr_kw_0147,MUZ,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Sıcak bölgelerde yetişen, sarı kabuklu uzun meyve","Sıcak bölgelerde yetişen, sarı kabuklu uzun meyve"
tr_kw_0148,NAR,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Çarşıdan aldım bir tane, eve geldim bin tane","Çarşıdan aldım bir tane, eve geldim bin tane"
tr_kw_0149,EKMEK,easy,83,KEEP,"IDEAL_LENGTH_BONUS","Un, su ve tuzla yapılan temel gıda maddesi","Un, su ve tuzla yapılan temel gıda maddesi"
tr_kw_0150,SU,easy,78,KEEP,"","Rengi, kokusu ve tadı olmayan, canlıların yaşaması için şart olan sıvı","Rengi, kokusu ve tadı olmayan, canlıların yaşaması için şart olan sıvı"
tr_kw_0151,RÜZGAR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Havanın yer değiştirmesiyle oluşan esinti, yel","Havanın yer değiştirmesiyle oluşan esinti, yel"
tr_kw_0152,YAĞMUR,medium,83,KEEP,"IDEAL_LENGTH_BONUS","Bulutlardan düşen su damlaları","Bulutlardan düşen su damlaları"
