id,answer,clue_original,cleaned_clue,rewritten_clue,quality_score,decision,reasons,clue_word_count,answer_length,contains_meta,contains_answer_leak,profanity_hit,ambiguity_hit
"tr_kw_0020","FISTIK","Kabuklu, yağlı ve lezzetli bir kuruyemiş","Kabuklu, yağlı ve lezzetli bir kuruyemiş","",100,"ACCEPT","+5 ideal length bonus",6,6,false,false,false,false
"tr_kw_0021","İSTANBUL","Boğaziçi'ne sahip, Türkiye'nin en kalabalık ili","Boğaziçi'ne sahip, Türkiye'nin en kalabalık ili","",100,"ACCEPT","+5 ideal length bonus",6,8,false,false,false,false
"tr_kw_0022","INTERNET","Küresel bilgisayar ağı","Küresel bilgisayar ağı","",100,"ACCEPT","+5 ideal length bonus",3,8,false,false,false,false
"tr_kw_0023","SANDALYE","Genellikle arkalıklı, oturmaya yarayan mobilya","Genellikle arkalıklı, oturmaya yarayan mobilya","",100,"ACCEPT","+5 ideal length bonus",5,8,false,false,false,false
"tr_kw_0024","KAHVALTI","Günün ilk öğünü; sabah yemeği","Günün ilk öğünü; sabah yemeği","",100,"ACCEPT","+5 dual-meaning bonus; +5 ideal length bonus",5,8,false,false,false,false
"tr_kw_0025","SEKİZGEN","Sekiz kenarlı geometrik şekil","Sekiz kenarlı geometrik şekil","",100,"ACCEPT","+5 ideal length bonus",4,8,false,false,false,false
"tr_kw_0026","TELEVİZYON","Görüntü ve ses yayınlarını alan cihaz","Görüntü ve ses yayınlarını alan cihaz","",100,"ACCEPT","+5 ideal length bonus",6,10,false,false,false,false
"tr_kw_0027","FOTOKOPİ","Belge çoğaltma işlemi","Belge çoğaltma işlemi","",100,"ACCEPT","+5 ideal length bonus",3,8,false,false,false,false
"tr_kw_0028","ÇİKOLATA","Kakaodan yapılan, süt ve şeker içeren sevilen tatlı","Kakaodan yapılan, süt ve şeker içeren sevilen tatlı","",100,"ACCEPT","+5 ideal length bonus",8,8,false,false,false,false
"tr_kw_0029","PORTAKAL","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi","",100,"ACCEPT","+5 ideal length bonus",8,8,false,false,false,false
"tr_kw_0030","OTOMOBİL","Yolcu taşımak için yapılmış, motorlu kara taşıtı","Yolcu taşımak için yapılmış, motorlu kara taşıtı","",100,"ACCEPT","+5 ideal length bonus",7,8,false,false,false,false
"tr_kw_0031","MÜTEŞEKKİR","Minnettar, teşekkür eden kimse","Minnettar, teşekkür eden kimse","",100,"ACCEPT","+5 ideal length bonus",4,10,false,false,false,false
"tr_kw_0032","ARKEOLOJİ","Kazı bilimi","Kazı bilimi","Kazı bilimi",75,"FIX","Clue too short (2 words, need ≥3)",2,9,false,false,false,false
"tr_kw_0033","BAŞKOMUTAN","Ordunun en yüksek rütbeli kumandanı","Ordunun en yüksek rütbeli kumandanı","",100,"ACCEPT","+5 ideal length bonus",5,10,false,false,false,false
"tr_kw_0034","BİYOLOJİ","Canlıları inceleyen bilim dalı","Canlıları inceleyen bilim dalı","",100,"ACCEPT","+5 ideal length bonus",4,8,false,false,false,false
"tr_kw_0035","CUMHURİYET","Milletin egemenliği kendi elinde tuttuğu yönetim biçimi","Milletin egemenliği kendi elinde tuttuğu yönetim biçimi","",100,"ACCEPT","+5 ideal length bonus",7,10,false,false,false,false
"tr_kw_0036","DİPLOMASİ","Devletlerarası ilişkileri yürütme sanatı","Devletlerarası ilişkileri yürütme sanatı","",100,"ACCEPT","+5 ideal length bonus",4,9,false,false,false,false
"tr_kw_0037","EDEBİYAT","Söz ve yazı sanatı, yazın","Söz ve yazı sanatı, yazın","",100,"ACCEPT","+5 ideal length bonus",5,8,false,false,false,false
"tr_kw_0038","FELSEFE","Düşünce bilimi, sevgisi","Düşünce bilimi, sevgisi","",100,"ACCEPT","+5 ideal length bonus",3,7,false,false,false,false
"tr_kw_0039","COĞRAFYA","Yeryüzü bilimi","Yeryüzü bilimi","Yeryüzü bilimi",75,"FIX","Clue too short (2 words, need ≥3)",2,8,false,false,false,false
"tr_kw_0040","MATEMATİK","Sayılar ve şekiller bilimi","Sayılar ve şekiller bilimi","",100,"ACCEPT","+5 ideal length bonus",4,9,false,false,false,false
"tr_kw_0041","BİLİRKİŞİ","Bir konuda uzmanlığına başvurulan kimse","Bir konuda uzmanlığına başvurulan kimse","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0042","MİSAFİRPERVER","Konuk ağırlamayı seven","Konuk ağırlamayı seven","",100,"ACCEPT","+5 ideal length bonus",3,13,false,false,false,false
"tr_kw_0043","KARAMBOL","Bilardoda veya futbolda karışıklık","Bilardoda veya futbolda karışıklık","",100,"ACCEPT","+5 ideal length bonus",4,8,false,false,false,false
"tr_kw_0044","TEBADİL","Değiş tokuş etme, yer değiştirme","Değiş tokuş etme, yer değiştirme","",100,"ACCEPT","+5 ideal length bonus",5,7,false,false,false,false
"tr_kw_0045","MÜTEVAZI","Alçakgönüllü, gösterişsiz","Alçakgönüllü, gösterişsiz","Alçakgönüllü, gösterişsiz",75,"FIX","Clue too short (2 words, need ≥3)",2,8,false,false,false,false
"tr_kw_0046","ZANAATKAR","El ustalığıyla iş yapan kimse","El ustalığıyla iş yapan kimse","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0047","ŞADIRVAN","Cami avlularındaki abdest alma yeri","Cami avlularındaki abdest alma yeri","",100,"ACCEPT","+5 ideal length bonus",5,8,false,false,false,false
"tr_kw_0048","İSTİKLAL","Bağımsızlık","Bağımsızlık","Bağımsızlık",60,"FIX","Clue too short (1 words, need ≥3); Single-word clue",1,8,false,false,false,false
"tr_kw_0049","TEKNOLOJİ","Bilgiyi sanayide kullanma bilimi","Bilgiyi sanayide kullanma bilimi","",100,"ACCEPT","+5 ideal length bonus",4,9,false,false,false,false
"tr_kw_0050","MÜHENDİS","Teknik ve matematiksel prensipleri uygulayan uzman kişi","Teknik ve matematiksel prensipleri uygulayan uzman kişi","",100,"ACCEPT","+5 ideal length bonus",7,8,false,false,false,false
"tr_kw_0051","SÜT","Dişi memelilerin yavrularını beslemek için memelerinden gelen beyaz sıvı","Dişi memelilerin yavrularını beslemek için memelerinden gelen beyaz sıvı","",100,"ACCEPT","",9,3,false,false,false,false
"tr_kw_0052","KOL","Omuzdan parmaklara kadar uzanan organ","Omuzdan parmaklara kadar uzanan organ","",100,"ACCEPT","+5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0053","BİT","Küçük parazit böcek","Küçük parazit böcek","",100,"ACCEPT","",3,3,false,false,false,false
"tr_kw_0054","EKMEK","Un, su ve tuzla yapılan temel gıda maddesi","Un, su ve tuzla yapılan temel gıda maddesi","",100,"ACCEPT","+5 ideal length bonus",8,5,false,false,false,false
"tr_kw_0055","KEDİ","Evlerde beslenen, fare avcısı, bıyıklı ve tüylü hayvan","Evlerde beslenen, fare avcısı, bıyıklı ve tüylü hayvan","",100,"ACCEPT","+5 ideal length bonus",8,4,false,false,false,false
"tr_kw_0056","MAVİ","Gökyüzü ve deniz rengi","Gökyüzü ve deniz rengi","",100,"ACCEPT","+5 ideal length bonus",4,4,false,false,false,false
"tr_kw_0057","GÜL","Dikenli ve kokulu bir çiçek","Dikenli ve kokulu bir çiçek","",100,"ACCEPT","+5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0058","KAPI","Bir yere girip çıkarken geçilen açılır kapanır bölme","Bir yere girip çıkarken geçilen açılır kapanır bölme","",100,"ACCEPT","+5 ideal length bonus",8,4,false,false,false,false
"tr_kw_0059","AYI","Kış uykusuna yatan, iri gövdeli, tüylü yaban hayvanı","Kış uykusuna yatan, iri gövdeli, tüylü yaban hayvanı","",100,"ACCEPT","+5 ideal length bonus",8,3,false,false,false,false
"tr_kw_0060","YOL","Üzerinde yürünülen veya gidilen şerit","Üzerinde yürünülen veya gidilen şerit","",100,"ACCEPT","+5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0061","BAYRAK","Bir milletin bağımsızlık sembolü kumaş","Bir milletin bağımsızlık sembolü kumaş","",100,"ACCEPT","+5 ideal length bonus",5,6,false,false,false,false
"tr_kw_0062","SİNEMA","Beyaz perdede film izlenen yer","Beyaz perdede film izlenen yer","",100,"ACCEPT","+5 ideal length bonus",5,6,false,false,false,false
"tr_kw_0063","DEFTER","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar","",100,"ACCEPT","+5 ideal length bonus",8,6,false,false,false,false
"tr_kw_0064","RÜZGAR","Havanın yer değiştirmesiyle oluşan esinti, yel","Havanın yer değiştirmesiyle oluşan esinti, yel","",100,"ACCEPT","+5 ideal length bonus",6,6,false,false,false,false
"tr_kw_0065","ZÜRAFA","Çok uzun boyunlu, benekli Afrika hayvanı","Çok uzun boyunlu, benekli Afrika hayvanı","",100,"ACCEPT","+5 ideal length bonus",6,6,false,false,false,false
"tr_kw_0066","GÖMLEK","Vücudun üst kısmına giyilen, yakalı ve düğmeli giysi","Vücudun üst kısmına giyilen, yakalı ve düğmeli giysi","",100,"ACCEPT","+5 ideal length bonus",8,6,false,false,false,false
"tr_kw_0067","TİYATRO","Sahnede oynanan sözlü eser","Sahnede oynanan sözlü eser","",100,"ACCEPT","+5 ideal length bonus",4,7,false,false,false,false
"tr_kw_0068","BALİNA","Denizlerde yaşayan, dev boyutlu memeli hayvan","Denizlerde yaşayan, dev boyutlu memeli hayvan","",100,"ACCEPT","+5 ideal length bonus",6,6,false,false,false,false
"tr_kw_0069","KARPUZ","İçi kırmızı, dışı yeşil, bol sulu ve tatlı büyük yaz meyvesi","İçi kırmızı, dışı yeşil, bol sulu ve tatlı büyük yaz meyvesi","",100,"ACCEPT","+5 ideal length bonus",11,6,false,false,false,false
"tr_kw_0070","ÇEKİÇ","Çivi çakmaya yarayan alet","Çivi çakmaya yarayan alet","",100,"ACCEPT","+5 ideal length bonus",4,5,false,false,false,false
"tr_kw_0071","ASTRONOM","Gökbilimci","Gökbilimci","Gökbilimci",60,"FIX","Clue too short (1 words, need ≥3); Single-word clue",1,8,false,false,false,false
"tr_kw_0072","BEŞİKTAŞ","İstanbul merkezli siyah-beyazlı kulüp","İstanbul merkezli siyah-beyazlı kulüp","",100,"ACCEPT","+5 ideal length bonus",4,8,false,false,false,false
"tr_kw_0073","MİMARLIK","Yapı tasarlama sanatı ve bilimi","Yapı tasarlama sanatı ve bilimi","",100,"ACCEPT","+5 ideal length bonus",5,8,false,false,false,false
"tr_kw_0074","ANITKABİR","Atatürk'ün Ankara'daki anıt mezarı","Atatürk'ün Ankara'daki anıt mezarı","",100,"ACCEPT","+5 ideal length bonus",4,9,false,false,false,false
"tr_kw_0075","HEMŞİRE","Hasta bakımında doktora yardımcı olan sağlık personeli","Hasta bakımında doktora yardımcı olan sağlık personeli","",100,"ACCEPT","+5 ideal length bonus",7,7,false,false,false,false
"tr_kw_0076","PENGUEN","Güney Kutbu'nda yaşayan, uçamayan deniz kuşu","Güney Kutbu'nda yaşayan, uçamayan deniz kuşu","",100,"ACCEPT","+5 ideal length bonus",6,7,false,false,false,false
"tr_kw_0077","TRAKTÖR","Tarla ve bahçe işlerinde kullanılan güçlü motorlu araç","Tarla ve bahçe işlerinde kullanılan güçlü motorlu araç","",100,"ACCEPT","+5 ideal length bonus",8,7,false,false,false,false
"tr_kw_0078","ŞEMSİYE","Yağmurdan veya güneşten korunmak için kullanılan eşya","Yağmurdan veya güneşten korunmak için kullanılan eşya","",100,"ACCEPT","+5 ideal length bonus",7,7,false,false,false,false
"tr_kw_0079","DEPREM","Yer kabuğunun sarsılması, zelzele","Yer kabuğunun sarsılması, zelzele","",100,"ACCEPT","+5 ideal length bonus",4,6,false,false,false,false
"tr_kw_0080","PİRAMİT","Mısır'daki üçgen şekilli anıt mezarlar","Mısır'daki üçgen şekilli anıt mezarlar","",100,"ACCEPT","+5 ideal length bonus",5,7,false,false,false,false
"tr_kw_0081","KARINCAİNCİTMEZ","Çok merhametli, nazik kimse","Çok merhametli, nazik kimse","",100,"ACCEPT","+5 ideal length bonus",4,15,false,false,false,false
"tr_kw_0082","ASTRONOT","Uzaya giden kişi","Uzaya giden kişi","",100,"ACCEPT","",3,8,false,false,false,false
"tr_kw_0083","BİLİMKURGU","Geleceği konu alan edebi tür","Geleceği konu alan edebi tür","",100,"ACCEPT","+5 ideal length bonus",5,10,false,false,false,false
"tr_kw_0084","ÇANAKKALE","Geçilmez denilen zafer destanının şehri","Geçilmez denilen zafer destanının şehri","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0085","DİNOZOR","Nesli tükenmiş dev sürüngen","Nesli tükenmiş dev sürüngen","",100,"ACCEPT","+5 ideal length bonus",4,7,false,false,false,false
"tr_kw_0086","KAPADOKYA","Peribacaları ile ünlü turistik bölge","Peribacaları ile ünlü turistik bölge","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0087","MANZARA","Doğa güzelliklerinin görünümü, peyzaj","Doğa güzelliklerinin görünümü, peyzaj","",100,"ACCEPT","+5 ideal length bonus",4,7,false,false,false,false
"tr_kw_0088","PSİKOLOJİ","Ruh bilimi","Ruh bilimi","Ruh bilimi",75,"FIX","Clue too short (2 words, need ≥3)",2,9,false,false,false,false
"tr_kw_0089","LABİRENT","Çıkışı zor, karmaşık yollar bütünü","Çıkışı zor, karmaşık yollar bütünü","",100,"ACCEPT","+5 ideal length bonus",5,8,false,false,false,false
"tr_kw_0090","OKYANUS","Kıtaları ayıran dev su kütlesi","Kıtaları ayıran dev su kütlesi","",100,"ACCEPT","+5 ideal length bonus",5,7,false,false,false,false
"tr_kw_0091","KAMUFULAJ","Gizlenme amacıyla yapılan renk değişimi","Gizlenme amacıyla yapılan renk değişimi","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0092","SPEKÜLASYON","Vurgunculuk, kurgusal tahmin","Vurgunculuk, kurgusal tahmin","",100,"ACCEPT","+5 ideal length bonus",3,11,false,false,false,false
"tr_kw_0093","MEDENİYET","Uygarlık","Uygarlık","Uygarlık",60,"FIX","Clue too short (1 words, need ≥3); Single-word clue",1,9,false,false,false,false
"tr_kw_0094","NAVİGASYON","Yol bulmaya yarayan elektronik sistem","Yol bulmaya yarayan elektronik sistem","",100,"ACCEPT","+5 ideal length bonus",5,10,false,false,false,false
"tr_kw_0095","STRATEJİ","İzlenen yol, taktik planlama","İzlenen yol, taktik planlama","",100,"ACCEPT","+5 ideal length bonus",4,8,false,false,false,false
"tr_kw_0096","PERSPEKTİF","Derinlik algısı sağlayan çizim tekniği","Derinlik algısı sağlayan çizim tekniği","",100,"ACCEPT","+5 ideal length bonus",5,10,false,false,false,false
"tr_kw_0097","GLOBALLEŞME","Küreselleşme, dünya çapında yayılma","Küreselleşme, dünya çapında yayılma","",100,"ACCEPT","+5 ideal length bonus",4,11,false,false,false,false
"tr_kw_0098","RESTORASYON","Eski yapıları aslına uygun onarma","Eski yapıları aslına uygun onarma","",100,"ACCEPT","+5 ideal length bonus",5,11,false,false,false,false
"tr_kw_0099","BİYOGRAFİ","Bir kişinin hayatını anlatan yazı","Bir kişinin hayatını anlatan yazı","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0100","ANSİKLOPEDİ","Her konuda bilgi içeren başvuru kitabı","Her konuda bilgi içeren başvuru kitabı","",100,"ACCEPT","+5 ideal length bonus",6,11,false,false,false,false
"tr_kw_0101","GÖK","Mavi renkli sema, gökyüzü","Mavi renkli sema, gökyüzü","Mavi renkli sema, gökyüzü",65,"FIX","Clue contains the answer directly; +5 ideal length bonus",4,3,false,true,false,false
"tr_kw_0102","BAĞ","Düğüm; üzüm kütüklerinin bulunduğu bahçe","Düğüm; üzüm kütüklerinin bulunduğu bahçe","",100,"ACCEPT","+5 dual-meaning bonus; +5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0103","DAĞ","Çevresine göre çok yüksek olan yer kabuğu çıkıntısı","Çevresine göre çok yüksek olan yer kabuğu çıkıntısı","",100,"ACCEPT","+5 ideal length bonus",8,3,false,false,false,false
"tr_kw_0104","ÇÖL","Kurak, kumluk arazi","Kurak, kumluk arazi","",100,"ACCEPT","",3,3,false,false,false,false
"tr_kw_0105","GÖL","Karalar üzerindeki durgun su birikintisi","Karalar üzerindeki durgun su birikintisi","",100,"ACCEPT","+5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0106","SAÇ","Baş derisini kaplayan kıllar","Baş derisini kaplayan kıllar","",100,"ACCEPT","+5 ideal length bonus",4,3,false,false,false,false
"tr_kw_0107","KAŞ","Gözlerin üzerindeki kıllı şerit","Gözlerin üzerindeki kıllı şerit","",100,"ACCEPT","+5 ideal length bonus",4,3,false,false,false,false
"tr_kw_0108","DİŞ","Çiğnemeye yarayan, ağız içindeki sert organ","Çiğnemeye yarayan, ağız içindeki sert organ","",100,"ACCEPT","+5 ideal length bonus",6,3,false,false,false,false
"tr_kw_0109","BAŞ","Kafa; lider; başlangıç","Kafa; lider; başlangıç","Kafa; lider; başlangıç",70,"FIX","Clue contains the answer directly; +5 dual-meaning bonus; +5 ideal length bonus",3,3,false,true,false,false
"tr_kw_0110","KOL","Omuzdan parmaklara kadar uzanan organ","Omuzdan parmaklara kadar uzanan organ","",100,"ACCEPT","+5 ideal length bonus",5,3,false,false,false,false
"tr_kw_0111","OKUL","Eğitim ve öğretim verilen kurum, mektep","Eğitim ve öğretim verilen kurum, mektep","",100,"ACCEPT","+5 ideal length bonus",6,4,false,false,false,false
"tr_kw_0112","SINIF","Öğrencilerin ders işlediği oda, derslik","Öğrencilerin ders işlediği oda, derslik","",100,"ACCEPT","+5 ideal length bonus",5,5,false,false,false,false
"tr_kw_0113","SİLGİ","Yazıyı silmeye yarayan kauçuk veya plastik araç","Yazıyı silmeye yarayan kauçuk veya plastik araç","",100,"ACCEPT","+5 ideal length bonus",7,5,false,false,false,false
"tr_kw_0114","DEFTER","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar","Üzerine yazı yazmak için bir araya getirilmiş kâğıtlar","",100,"ACCEPT","+5 ideal length bonus",8,6,false,false,false,false
"tr_kw_0115","TEBEŞİR","Karatahtaya yazı yazmak için kullanılan beyaz madde","Karatahtaya yazı yazmak için kullanılan beyaz madde","",100,"ACCEPT","+5 ideal length bonus",7,7,false,false,false,false
"tr_kw_0116","HARİTA","Yeryüzünün çizimle gösterilmesi","Yeryüzünün çizimle gösterilmesi","",100,"ACCEPT","+5 ideal length bonus",3,6,false,false,false,false
"tr_kw_0117","PUSULA","Yön bulmaya yarayan alet","Yön bulmaya yarayan alet","",100,"ACCEPT","+5 ideal length bonus",4,6,false,false,false,false
"tr_kw_0118","DÜRBÜN","Uzak nesneleri yakın gösteren optik alet","Uzak nesneleri yakın gösteren optik alet","",100,"ACCEPT","+5 ideal length bonus",6,6,false,false,false,false
"tr_kw_0119","MERCEK","Işığı kıran cam, lens","Işığı kıran cam, lens","",100,"ACCEPT","+5 ideal length bonus",4,6,false,false,false,false
"tr_kw_0120","AYNA","Görüntü yansıtan cam","Görüntü yansıtan cam","",100,"ACCEPT","+5 ideal length bonus",3,4,false,false,false,false
"tr_kw_0121","MİKROSKOP","Gözle görülmeyen küçük canlıları incelemeye yarayan alet","Gözle görülmeyen küçük canlıları incelemeye yarayan alet","",100,"ACCEPT","+5 ideal length bonus",7,9,false,false,false,false
"tr_kw_0122","TELESKOP","Gök cisimlerini incelemeye yarayan alet, ırakgörür","Gök cisimlerini incelemeye yarayan alet, ırakgörür","",100,"ACCEPT","+5 ideal length bonus",6,8,false,false,false,false
"tr_kw_0123","TERMOMETRE","Sıcaklığı ölçmeye yarayan alet, sıcaklıkölçer","Sıcaklığı ölçmeye yarayan alet, sıcaklıkölçer","",100,"ACCEPT","+5 ideal length bonus",5,10,false,false,false,false
"tr_kw_0124","BAROMETRE","Hava basıncını ölçen alet, basınçölçer","Hava basıncını ölçen alet, basınçölçer","",100,"ACCEPT","+5 ideal length bonus",5,9,false,false,false,false
"tr_kw_0125","KRONOMETRE","Zamanı hassas ölçmeye yarayan saat, süreölçer","Zamanı hassas ölçmeye yarayan saat, süreölçer","",100,"ACCEPT","+5 ideal length bonus",6,10,false,false,false,false
"tr_kw_0126","FUTBOL","Ayakla oynanan, on birer kişilik iki takımla yapılan spor","Ayakla oynanan, on birer kişilik iki takımla yapılan spor","",100,"ACCEPT","+5 ideal length bonus",9,6,false,false,false,false
"tr_kw_0127","BASKETBOL","Potaya top atılarak oynanan oyun, sepet topu","Potaya top atılarak oynanan oyun, sepet topu","",100,"ACCEPT","+5 ideal length bonus",7,9,false,false,false,false
"tr_kw_0128","VOLEYBOL","File üzerinden top geçirilerek oynanan oyun, uçan top","File üzerinden top geçirilerek oynanan oyun, uçan top","",100,"ACCEPT","+5 ideal length bonus",8,8,false,false,false,false
"tr_kw_0129","TENİS","Raketle oynanan kort oyunu","Raketle oynanan kort oyunu","",100,"ACCEPT","+5 ideal length bonus",4,5,false,false,false,false
"tr_kw_0130","YÜZME","Suda kulaç atarak yapılan spor","Suda kulaç atarak yapılan spor","",100,"ACCEPT","+5 ideal length bonus",5,5,false,false,false,false
"tr_kw_0131","KOŞU","Hızlı adımlarla yapılan spor","Hızlı adımlarla yapılan spor","",100,"ACCEPT","+5 ideal length bonus",4,4,false,false,false,false
"tr_kw_0132","GÜREŞ","İki kişinin birbirini yenmeye çalıştığı spor","İki kişinin birbirini yenmeye çalıştığı spor","",100,"ACCEPT","+5 ideal length bonus",6,5,false,false,false,false
"tr_kw_0133","BOKS","Yumrukla yapılan dövüş sporu","Yumrukla yapılan dövüş sporu","",100,"ACCEPT","+5 ideal length bonus",4,4,false,false,false,false
"tr_kw_0134","JUDO","Japon kökenli bir savunma sporu","Japon kökenli bir savunma sporu","",100,"ACCEPT","+5 ideal length bonus",5,4,false,false,false,false
"tr_kw_0135","KANO","Küçük ve dar tekne ile yapılan su sporu","Küçük ve dar tekne ile yapılan su sporu","",100,"ACCEPT","+5 ideal length bonus",8,4,false,false,false,false
"tr_kw_0136","KAPLUMBAĞA","Sırtında sert kabuğu olan yavaş yürüyen hayvan","Sırtında sert kabuğu olan yavaş yürüyen hayvan","",100,"ACCEPT","+5 ideal length bonus",7,10,false,false,false,false
"tr_kw_0137","BUKALEUMUN","Renk değiştirme yeteneği olan sürüngen","Renk değiştirme yeteneği olan sürüngen","",100,"ACCEPT","+5 ideal length bonus",5,10,false,false,false,false
"tr_kw_0138","AHTAPOT","Sekiz kollu deniz yumuşakçası","Sekiz kollu deniz yumuşakçası","",100,"ACCEPT","+5 ideal length bonus",4,7,false,false,false,false
"tr_kw_0139","İSTAKOZ","Kıskaçlı büyük deniz böceği","Kıskaçlı büyük deniz böceği","",100,"ACCEPT","+5 ideal length bonus",4,7,false,false,false,false
"tr_kw_0140","DENİZANASI","Şemsiye şeklinde, saydam ve yakıcı deniz canlısı","Şemsiye şeklinde, saydam ve yakıcı deniz canlısı","",100,"ACCEPT","+5 ideal length bonus",7,10,false,false,false,false
"tr_kw_0141","LİMON","Sarı renkli, ekşi sulu, C vitamini zengini narenciye","Sarı renkli, ekşi sulu, C vitamini zengini narenciye","",100,"ACCEPT","+5 ideal length bonus",8,5,false,false,false,false
"tr_kw_0142","PORTAKAL","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi","Turunçgillerden, C vitamini deposu, turuncu renkli kış meyvesi","",100,"ACCEPT","+5 ideal length bonus",8,8,false,false,false,false
